datetime,open,high,low,close
2022-08-01 20:00:00,131.805,131.849,131.59,131.642
2022-08-01 21:00:00,131.642,131.669,131.57,131.6
2022-08-01 22:00:00,131.608,131.747,131.57,131.644
2022-08-01 23:00:00,131.648,131.728,131.45,131.555
2022-08-02 00:00:00,131.554,131.681,131.36,131.404
2022-08-02 01:00:00,131.405,131.527,130.57,130.934
2022-08-02 02:00:00,130.937,130.972,130.389,130.683
2022-08-02 03:00:00,130.68,130.797,130.52,130.65
2022-08-02 04:00:00,130.664,130.952,130.61,130.845
2022-08-02 05:00:00,130.845,130.864,130.69,130.716
2022-08-02 06:00:00,130.71,130.724,130.4,130.649
2022-08-02 07:00:00,130.652,131.092,130.61,130.863
2022-08-02 08:00:00,130.863,130.949,130.63,130.823
2022-08-02 09:00:00,130.826,131.179,130.75,130.872
2022-08-02 10:00:00,130.873,131.054,130.67,130.801
2022-08-02 11:00:00,130.803,131.013,130.77,130.991
2022-08-02 12:00:00,130.993,131.061,130.83,130.992
2022-08-02 13:00:00,130.989,131.08,130.62,130.75
2022-08-02 14:00:00,130.75,131.493,130.67,131.409
2022-08-02 15:00:00,131.407,131.82,131.28,131.722
2022-08-02 16:00:00,131.72,132.394,131.67,132.303
2022-08-02 17:00:00,132.304,132.396,132.1,132.252
2022-08-02 18:00:00,132.255,132.929,132.19,132.779
2022-08-02 19:00:00,132.783,132.996,132.75,132.99
2022-08-02 20:00:00,132.981,133.082,132.7,133.068
2022-08-02 21:00:00,133.073,133.177,133.04,133.161
2022-08-02 22:00:00,133.154,133.2,133.12,133.163
2022-08-02 23:00:00,133.19,133.283,132.85,132.997
2022-08-03 00:00:00,132.998,133.603,132.96,133.341
2022-08-03 01:00:00,133.33,133.901,133.24,133.795
2022-08-03 02:00:00,133.798,133.85,133.39,133.624
2022-08-03 03:00:00,133.619,133.666,133.01,133.142
2022-08-03 04:00:00,133.142,133.222,132.54,132.605
2022-08-03 05:00:00,132.608,132.824,132.26,132.715
2022-08-03 06:00:00,132.705,133.24,132.67,133.224
2022-08-03 07:00:00,133.223,133.413,133.04,133.15
2022-08-03 08:00:00,133.147,133.332,132.87,133.215
2022-08-03 09:00:00,133.215,133.297,133.08,133.202
2022-08-03 10:00:00,133.199,133.243,132.93,133.155
2022-08-03 11:00:00,133.157,133.534,133.06,133.359
2022-08-03 12:00:00,133.362,133.47,133.11,133.47
2022-08-03 13:00:00,133.466,133.702,133.43,133.575
2022-08-03 14:00:00,133.577,133.703,133.43,133.567
2022-08-03 15:00:00,133.574,134.551,133.566,134.379
2022-08-03 16:00:00,134.377,134.401,134.13,134.203
2022-08-03 17:00:00,134.205,134.209,133.73,134.12
2022-08-03 18:00:00,134.122,134.166,133.99,134.026
2022-08-03 19:00:00,134.028,134.185,133.97,134.111
2022-08-03 20:00:00,134.112,134.179,133.89,133.945
2022-08-03 21:00:00,133.946,133.957,133.81,133.83
2022-08-03 22:00:00,133.853,133.91,133.755,133.833
2022-08-03 23:00:00,133.827,134.028,133.8,133.925
2022-08-04 00:00:00,133.926,134.14,133.88,133.929
2022-08-04 01:00:00,133.925,133.964,133.54,133.623
2022-08-04 02:00:00,133.621,133.923,133.4,133.87
2022-08-04 03:00:00,133.879,133.883,133.66,133.81
2022-08-04 04:00:00,133.813,133.845,133.69,133.789
2022-08-04 05:00:00,133.79,133.806,133.64,133.697
2022-08-04 06:00:00,133.704,134.105,133.66,134.067
2022-08-04 07:00:00,134.067,134.304,133.98,134.183
2022-08-04 08:00:00,134.181,134.264,133.92,134.157
2022-08-04 09:00:00,134.156,134.423,134.08,134.299
